parameters,value,UAB,UFD,IFD
STN,1250,,,
LinearScale,0.45,,,
Uk,0.0597,,,
ULN,630,,,
XcReal,0.01895,,,
XcRealEqual,0.0181,,,
XcpuEqual,0.05585,,,
IFDN,1089.3,,,
UFDN,353,,,
IFDB_std,,,,
UFDB_std,,,,
KFD_std,,,,
UFDB_LL,,,,
KFD_LL,,,,
a,,,,
b,,,,
n,,,,
SG100,,,,
SG120,,,,
Rising1Ut,0.9456,,,
Rising1Ufd,694.58,,,
Rising1Ifd,555.455,,,
Rising2Ut,0.887,,,
Rising2Ufd,651.85,,,
Rising2Ifd,496.85,,,
Falling1Ut,0.6344,,,
Falling1Ufd,-455.3,,,
Falling1Ifd,224.6,,,
Falling2Ut,0.5974,,,
Falling2Ufd,-428.1,,,
Falling2Ifd,206.312,,,
Rising1Angle,28.8178,,,
Rising2Angle,28.8373,,,
Falling1Angle,146.752,,,
Falling2Angle,146.638,,,
AngleAVGmin,28.8276,,,
AngleAVGmax,146.695,,,
Umax,,,,
Umin,,,,

