UAB(%),UFD(V),IFD(A)
1.369,-1.212,1.894
43.31,21.771,90.806
50.201,25.455,105.467
60.01,30.991,126.82
66.763,34.616,142.056
67.589,35.117,143.824
73.284,50.278,159.097
80.393,46.161,175.964
85.007,46.982,188.699
88.644,50.143,198.825
89.85,50.391,203.386
93.159,53.662,212.602
95.119,54.822,219.079
98.046,57.779,229.394
99.289,58.74,233.72
100.114,59.796,237.969
103.324,63.806,250.109
105.327,64.746,258.281
108.846,70.319,277.465
110.046,71.368,282.916
115.201,79.892,312.249
116.643,82.935,323.047
117.026,82.016,325.894
